"gender","faed","maed","alg1","alg2","geo","trig","calc","mathgr","grades","mathach","mosaic","visual","visual2","satm","ethnic","religion","ethnic2","item01","item02","item03","item04","item05","item06","item07","item08","item09","item10","item11","item12","item13","item14","item04r","item05r","item08r","item11r","competence","motivation","advmath"
0,9,7,1,0,1,0,0,0,5,14.333,27,6,5,500,2,1,2,3,4,3,2,1,1,4,2,3,1,1,3,3,4,3,4,3,4,3.5,3.16666666666667,0
0,3,3,1,1,1,0,0,1,6,14.333,26,9.75,9.5,510,3,2,3,3,4,3,1,2,2,4,1,4,1,1,4,2,3,4,3,4,4,3.5,3.5,0
1,8,3,1,1,1,1,0,1,8,19.667,25,8.75,9.5,500,4,3,4,3,2,1,2,2,4,3,2,3,3,2,4,3,2,3,3,3,3,2.5,3.16666666666667,1
0,5,5,1,0,1,0,0,0,5,17,41,-0.25,1,580,1,3,1,4,4,4,1,1,3,3,1,3,1,1,4,4,3,4,4,4,4,3.75,3.83333333333333,0
1,2,3,0,0,0,0,0,0,3,7.667,27,7.25,6,450,1,NA,1,2,4,3,1,2,1,4,2,1,1,1,3,2,4,4,3,3,4,2.75,3,0
0,9,7,1,1,1,1,0,0,5,19.667,22,4.75,5,500,1,NA,1,4,4,3,1,1,3,3,2,3,2,1,4,3,3,4,4,3,4,3.5,3.5,1
1,2,2,0,0,0,0,0,0,4,6.667,53,1,5,450,1,1,1,3,3,2,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,2.5,2.66666666666667,0
1,6,6,1,1,1,1,0,1,7,14.333,27,9.75,8,520,2,1,2,3,4,4,2,1,3,3,2,3,1,1,3,2,3,3,4,3,4,3.75,2.83333333333333,1
1,5,3,1,0,0,0,0,0,5,10.667,31,7.25,7,490,3,2,3,3,4,3,3,2,3,3,2,3,1,2,2,3,3,2,3,3,3,3,2.66666666666667,0
1,3,6,1,0,1,0,0,0,6,14.333,29,2.25,5,510,4,NA,4,4,4,3,3,1,1,2,3,3,1,1,3,3,3,2,4,2,4,3.5,2.66666666666667,0
0,3,2,1,1,0,0,0,1,5,14.333,26,2.25,2,480,1,1,1,3,4,4,1,1,1,3,1,4,1,1,4,3,2,4,4,4,4,4,3.5,0
1,5,3,1,0,0,0,0,1,6,14.333,22,1,1,450,1,2,1,4,4,3,2,1,2,3,2,3,1,2,3,3,3,3,4,3,3,3.25,3.16666666666667,0
0,2,3,0,0,0,0,0,0,3,9,31,13.5,8,400,3,1,NA,2,3,2,3,1,3,4,2,3,1,1,3,3,2,2,4,3,4,3.25,2.83333333333333,0
1,2,3,1,1,1,1,0,1,7,17,27,9.75,8,550,2,1,2,2,4,4,2,1,1,3,2,4,1,1,3,2,4,3,4,3,4,4,2.66666666666667,1
0,9,5,1,1,1,0,0,0,6,23.667,34,9.5,9.5,710,1,3,1,3,4,2,2,2,3,2,2,4,1,1,4,3,3,3,3,3,4,3.25,3,0
0,5,7,1,1,1,1,0,0,4,18.333,24.5,9.75,9.5,600,4,NA,4,4,4,4,1,1,2,4,1,4,1,1,3,4,3,4,4,4,4,4,3.83333333333333,1
0,8,8,1,1,1,1,0,1,7,15.667,23,6,5,650,3,2,3,3,4,3,2,2,4,2,2,3,1,1,3,3,2,3,3,3,4,3.25,2.83333333333333,1
1,4,2,1,0,0,0,0,1,8,17,32.5,2.25,2,550,1,1,1,3,4,3,3,2,2,2,2,3,2,2,3,2,3,2,3,3,3,3,2.5,0
0,8,6,1,1,1,1,0,0,6,15.667,29.5,9.75,8,470,1,NA,1,3,3,3,3,2,3,2,2,3,2,2,1,1,2,2,3,3,3,3,2,1
0,3,3,1,0,1,0,0,0,7,7.667,33,-0.25,3,470,1,1,1,3,4,3,1,1,2,4,1,4,1,1,4,3,4,4,4,4,4,3.75,3.66666666666667,0
1,2,2,1,1,1,1,1,1,7,22.667,24,3.75,3,600,1,2,1,3,4,4,1,1,2,4,4,4,1,1,4,4,3,4,4,1,4,4,3.33333333333333,2
1,4,2,1,1,0,0,0,1,7,14.333,11,6,5,530,2,1,2,4,4,3,3,1,3,2,4,4,1,1,4,4,3,2,4,1,4,3.75,2.83333333333333,0
0,2,2,1,1,1,0,0,0,5,21,23,6.5,6,610,4,1,4,2,4,2,2,3,1,3,3,4,1,1,2,2,2,3,2,2,4,3,2.33333333333333,0
1,2,2,0,0,0,0,0,1,6,6.333,26,1,0,500,1,1,1,2,4,3,2,1,4,3,3,4,1,1,2,2,3,3,4,2,4,3.75,2.33333333333333,0
1,3,6,1,0,1,0,0,1,6,3.667,22.5,6,5,350,1,2,1,4,2,4,1,1,3,4,1,2,2,1,3,4,1,4,4,4,4,3.5,3.83333333333333,0
0,10,10,1,1,0,0,0,0,7,10.333,20.5,3.5,3,450,2,1,2,3,4,3,4,1,3,3,3,4,1,2,3,3,3,1,4,2,3,3.5,2.5,0
1,8,8,1,1,1,1,1,1,8,23.667,28,3.5,6,550,1,1,1,3,4,3,2,1,1,4,1,4,1,1,4,3,4,3,4,4,4,3.75,3.5,2
1,2,3,1,0,0,0,0,1,7,4,16,1,1,400,2,1,2,4,4,3,3,1,2,2,3,3,1,1,3,2,3,2,4,2,4,3.5,2.5,0
1,4,6,1,1,0,0,0,0,6,17,30,-0.25,0,520,1,2,1,3,4,3,1,1,2,4,1,3,1,1,3,3,3,4,4,4,4,3.5,3.5,0
1,10,9,1,1,1,0,0,0,6,6.333,23.5,-0.25,0,410,1,3,1,2,4,2,4,1,3,1,3,3,1,1,2,2,3,1,4,2,4,3.25,1.66666666666667,0
1,2,3,1,0,0,0,0,0,5,3.667,20.5,-0.25,4,520,1,1,1,3,4,2,3,2,1,4,1,4,1,1,2,3,3,2,3,4,4,3.25,3,0
1,3,5,1,0,0,0,0,0,5,9,22.5,4.75,4,440,1,2,1,4,3,4,3,1,2,4,2,4,2,1,2,2,3,2,4,3,4,4,2.83333333333333,0
1,8,7,1,1,1,1,0,0,6,20.333,24,5,4,470,1,3,1,3,4,3,3,1,3,3,2,4,1,1,3,3,3,2,4,3,4,3.75,2.83333333333333,1
1,2,2,1,0,0,0,0,0,6,13,37,4.75,2,600,4,3,4,4,4,4,2,1,3,4,1,3,1,2,3,3,2,3,4,4,3,3.5,3.5,0
1,2,3,1,0,0,0,0,1,5,12,31,4.75,4,500,NA,1,2,2,4,4,3,1,3,1,3,4,1,1,2,2,3,2,4,2,4,4,1.83333333333333,0
1,6,2,0,0,0,0,0,1,6,17,56,5,4,520,2,1,2,3,3,3,2,1,2,2,2,3,2,1,3,2,3,3,4,3,4,3.5,2.66666666666667,0
1,5,7,1,1,1,1,1,1,8,23.667,35.5,11,8,730,3,2,3,3,4,2,2,2,2,3,2,3,1,2,2,3,3,3,3,3,3,2.75,2.83333333333333,2
0,2,2,1,1,1,1,0,1,8,21,28,11,9.5,700,1,1,1,3,3,3,2,1,2,3,2,3,1,1,3,3,3,3,4,3,4,3.5,3,1
0,10,9,1,1,1,1,1,1,7,22.333,36,7.25,7,600,1,2,1,3,4,3,1,1,1,4,1,3,1,1,3,2,4,4,4,4,4,3.5,3.33333333333333,2
1,2,3,0,0,0,0,0,0,3,2.333,35,3.5,3,400,2,1,2,4,4,3,1,1,2,4,1,4,1,1,2,3,3,4,4,4,4,3.75,3.5,0
1,10,5,1,1,1,1,0,1,8,22.333,44,7.25,6,500,3,2,3,4,4,3,3,2,1,2,3,2,4,1,1,1,3,2,3,2,4,3,2,1
1,2,2,1,0,0,0,0,1,7,5,-4,3.5,3,400,1,3,1,2,3,2,2,2,3,1,3,3,1,1,1,1,2,3,3,2,4,3,1.66666666666667,0
1,2,3,0,0,0,0,0,1,5,5,24.5,6,5,410,2,1,1,3,4,2,2,2,1,3,1,3,1,1,3,3,4,3,3,4,4,3,3.16666666666667,0
1,2,3,1,1,1,0,0,1,8,10.333,25,9.75,8,450,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,2,2,3,3,3,3,3,2.83333333333333,0
0,3,3,0,0,0,0,0,0,3,5,51.5,2.25,2,300,1,1,1,4,4,3,4,1,1,1,4,4,1,1,2,1,3,1,4,1,4,3.75,1.66666666666667,0
1,10,3,1,0,0,0,0,0,7,1,25,1,0,250,1,2,1,4,4,4,1,1,2,4,1,4,1,1,4,4,3,4,4,4,4,4,4,0
0,2,3,1,0,1,0,0,0,4,13,30.5,3.5,3,510,4,2,4,3,4,2,2,2,3,2,2,3,1,1,3,3,3,3,3,3,4,3,2.83333333333333,0
1,3,2,0,0,0,0,0,0,4,9.333,29,4.75,4,480,1,3,1,3,4,3,2,1,1,3,2,4,1,1,4,3,4,3,4,3,4,3.75,3.16666666666667,0
1,2,3,1,1,0,0,0,0,7,10.333,20,-0.25,0,460,NA,3,NA,4,3,4,2,1,3,3,1,4,3,1,3,3,2,3,4,4,4,4,3.33333333333333,0
0,9,3,1,1,1,1,1,1,7,23.667,22,4.75,4,650,1,1,1,4,4,3,2,1,3,3,1,3,1,1,3,3,3,3,4,4,4,3.5,3.33333333333333,2
0,5,5,0,0,0,0,0,0,3,5,7.5,6,8,500,1,2,1,3,4,2,1,1,1,3,1,3,1,1,2,2,4,4,4,4,4,3.25,3,0
0,9,8,1,1,1,1,1,1,8,23.667,32,7.25,7,480,1,3,1,4,4,4,3,1,3,3,1,4,1,1,4,2,3,2,4,4,4,4,3.16666666666667,2
0,3,3,1,1,0,0,0,0,5,14.667,23,1,1,530,1,1,1,4,4,3,1,1,2,4,1,4,1,1,4,4,3,4,4,4,4,3.75,4,0
0,7,3,1,1,1,1,0,0,4,18.667,24.5,11,9.5,550,1,2,1,3,4,1,2,3,4,4,1,2,1,2,3,1,3,3,2,4,3,2,3,1
0,5,4,1,1,1,0,0,0,7,11.667,23,8.5,9.5,500,1,3,1,4,4,4,3,1,4,1,3,3,3,1,2,1,2,2,4,2,4,3.75,2,0
0,3,6,1,0,0,0,0,0,4,14.333,30.5,8.5,3,460,1,1,1,2,2,2,2,2,3,3,2,3,3,2,3,3,1,3,3,3,3,2.75,2.83333333333333,0
0,3,3,1,0,1,0,0,0,5,11.667,13.5,14.75,9.5,470,1,2,1,3,3,2,3,2,3,2,3,3,2,2,3,2,2,2,3,2,3,2.75,2.33333333333333,0
0,6,3,1,1,1,1,0,1,7,14.333,30,14.75,7,520,1,3,1,3,3,3,1,1,3,3,1,4,2,1,3,3,2,4,4,4,4,3.75,3.33333333333333,1
